epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,805.414,2.22658,3.02261,1.60825,0.01938,0.54551,0.13351,0.05356,1.95454,3.1117,1.43946,0.000410053,0.000410053,0.000410053
2,1570.3,2.01424,2.35673,1.50243,0.45827,0.18217,0.15844,0.06274,1.94896,2.50269,1.47868,0.000744874,0.000744874,0.000744874
3,2240.68,1.99489,2.20611,1.50379,0.49404,0.26083,0.20387,0.08171,1.98977,2.26392,1.48637,0.000997196,0.000997196,0.000997196
4,2900.75,1.96737,2.07742,1.49165,0.45762,0.23391,0.16135,0.0635,2.05768,2.47576,1.53593,0.00087875,0.00087875,0.00087875
5,3547.89,1.92265,1.98797,1.46919,0.55785,0.34523,0.29035,0.12356,1.89225,1.9325,1.43458,0.000755,0.000755,0.000755
6,4190.25,1.89985,1.89325,1.4488,0.56702,0.32592,0.27932,0.11714,1.9147,1.95477,1.45227,0.00063125,0.00063125,0.00063125
7,4834.67,1.87564,1.84412,1.42739,0.57216,0.33679,0.28116,0.1215,1.86786,1.8797,1.4076,0.0005075,0.0005075,0.0005075
8,5481.16,1.82347,1.74042,1.40305,0.62824,0.35327,0.33421,0.15042,1.85494,1.77817,1.41644,0.00038375,0.00038375,0.00038375
9,6123,1.81121,1.6727,1.38928,0.61428,0.38382,0.35382,0.16533,1.80275,1.71954,1.38638,0.00026,0.00026,0.00026
10,6768.96,1.76776,1.63174,1.36527,0.60425,0.38349,0.35595,0.16643,1.79189,1.67399,1.38126,0.00013625,0.00013625,0.00013625
